id,fund_name,Performance fee?,Investment Strategy,Derivatives_label,Portfolio composition, Concentration,Predicted Strategy,Strategy evidence,Prediction
0000051931-18-000465,Blue Chip Income and Growth Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Balanced Fund  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories, including growth funds, growth-and-income funds, equity-income funds, balanced funds and fixed income funds. The fund categories represent differing investment objectives. For example, growth funds seek long-term growth primarily through investing in both U.S. stocks and stocks of issuers domiciled outside the U.S. Growth-and-income funds seek long-term growth and income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who have retired in, or close to, the year designated in the fund’s name.",Balanced Fund (Low Risk)
0000051931-18-000465,Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Principal investment strategies The fund will attempt to achieve its investment objective by investing in a mix of American Funds bond funds. The fund will principally invest in funds that seek current income through bond investments.

When determining in which bond funds to invest, the investment adviser will predominately seek exposure to higher quality bonds (rated A- or better or A3 or better by Nationally Recognized Statistical Rating Organizations designated by the fund’s investment adviser, or unrated but determined by the fund’s investment adviser to be of equivalent quality) with intermediate to short-term durations. The fund may, however, invest in underlying funds with exposure to lower quality, higher yielding securities rated BBB+ or below and Baa1 or below (including those rated BB+ or below and Ba1 or below) or unrated but determined by the fund’s investment adviser to be of equivalent quality, and to bonds with longer durations.",Fixed Income Long Only (Low Risk)
0000051931-18-000465,Capital Income Builder,,Balanced Fund (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 9","investment strategy. The fund is designed for investors seeking income and more price stability than stocks, and capital preservation over the long term.",Fixed Income Long Only (Low Risk)
0000051931-18-000465,Corporate Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Fixed Income Long Only  
Confidence: 9","Principal Investment Strategies

Under normal market conditions, the portfolio managers will invest at least 80% of the fund’s net assets, plus any borrowings for investment purposes, in corporate debt securities and corporate debt investments. Corporate debt investments are derivatives whose reference securities are corporate debt securities.

The fund invests primarily in U.S. dollar denominated corporate debt securities issued by U.S. and foreign entities, but may also invest in securities issued by supranational entities. Although the fund invests primarily in investment-grade debt securities, up to 35% of the fund’s net assets may be invested in high-yield securities (also referred to as “junk bonds”).",Fixed Income Long Only (Low Risk)
0000051931-18-000465,Global Balanced Fund,,Balanced Fund (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 10","Principal investment strategies As a balanced fund with global scope, the fund seeks to invest in equity and debt securities of companies around the world that offer the opportunity for growth and/or provide dividend income, while also constructing its portfolio to protect principal and limit volatility. The fund will allocate its assets among securities of companies domiciled in various countries, including the United States (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net assets in issuers outside the United States).

The fund’s investments in issuers domiciled outside the United States may include securities of issuers domiciled in developing countries.",Balanced Fund (Low Risk)
0000051931-18-000465,Global Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Principal investment strategies Under normal market circumstances, the fund invests at least 80% of its assets in bonds and other debt securities, which may be represented by other investment instruments, including derivatives. The fund invests primarily in debt securities, including asset-backed and mortgage-backed securities and securities of governmental, supranational and corporate issuers denominated in various currencies, including U.S. dollars. As a fund that seeks to invest globally, the fund will allocate its assets among securities of companies domiciled in various countries, including the United States and countries with emerging markets (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net",Fixed Income Long Only (Low Risk)
0000051931-18-000465,Global Growth Fund,,Equity Long Only (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 7",strategy and may have differed if Ivy Global Growth Fund’s current strategy that includes investing globally had been in place.,Balanced Fund (Low Risk)
0000051931-18-000465,Global Growth and Income Fund,,Equity Long Only (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories, including growth funds, growth-and-income funds, equity-income funds, balanced funds and fixed income funds. The fund categories represent differing investment objectives. For example, growth funds seek long-term growth primarily through investing in both U.S. stocks and stocks of issuers domiciled outside the U.S. Growth-and-income funds seek long-term growth and income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who have retired in, or close to, the year designated in the fund’s name.",Balanced Fund (Low Risk)
0000051931-18-000465,Global Small Capitalization Fund,,Equity Long Only (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Equity Long Only  
Confidence: 9","Principal investment strategies Normally, the fund invests at least 80% of its net assets in growth-oriented common stocks and other equity type securities of companies with small market capitalizations, measured at the time of purchase. However, the fund’s holdings of small capitalization stocks may fall below the 80% threshold due to subsequent market action. The investment adviser currently defines “small market capitalization” companies as companies with market capitalizations of $6.0 billion or less. The investment adviser has periodically re-evaluated and adjusted this definition and may continue to do so in the future. As a fund that seeks to invest globally, the fund will allocate its assets among securities of companies domiciled in various countries, including the United States and countries with emerging markets (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at",Equity Long Only (Low Risk)
0000051931-18-000465,Growth Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Equity Long Only  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories such as growth funds, growth-and-income funds, equity-income funds, balanced funds and bond funds. The fund categories represent differing investment objectives. For example, growth funds seek long-term growth primarily through investing in both U.S. stocks and stocks of issuers domiciled outside the U.S. Growth-and-income funds seek long-term growth-and-income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who plan to attend college in, or close to, the year designated in the fund’s name.",Equity Long Only (Low Risk)
0000051931-18-000465,Growth-Income Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Balanced Fund  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories, including growth funds, growth-and-income funds, equity-income funds, balanced funds and fixed income funds. The fund categories represent differing investment objectives. For example, growth funds seek long-term growth primarily through investing in both U.S. stocks and stocks of issuers domiciled outside the U.S. Growth-and-income funds seek long-term growth and income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who have retired in, or close to, the year designated in the fund’s name.",Balanced Fund (Low Risk)
0000051931-18-000465,High-Income Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Fixed Income Long Only  
Confidence: 10",Principal investment strategies The fund will attempt to achieve its investment objective by investing in a mix of American Funds bond funds. The fund will principally invest in funds that seek current income through bond investments. The fund is designed for investors who attend college currently or plan to in the near future.,Fixed Income Long Only (Low Risk)
0000051931-18-000465,International Fund,,Equity Long Only (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 9","As an asset allocation fund with a global scope, the fund seeks to invest, through its investments in the underlying funds, in equity and debt securities of companies around the world that offer the opportunity for growth and/or provide dividend income, while also constructing its portfolio to protect principal and limit volatility. The fund will invest primarily in global and international funds that invest significantly in issuers domiciled outside the United States. Through the underlying funds in which it invests, the fund will have significant exposure to issuers domiciled outside the United States, including exposure to issuers domiciled in at least three different countries. The investment adviser believes that exposure to issuers domiciled outside the United States can help provide diversification when seeking high total return, including capital gains and current income.",Balanced Fund (Low Risk)
0000051931-18-000465,International Growth and Income Fund,,Equity Long Only (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories such as growth funds, growth-and-income funds, equity-income funds, balanced funds and bond funds. The fund categories represent differing investment objectives. For example, growth funds seek long-term growth primarily through investing in both U.S. stocks and stocks of issuers domiciled outside the U.S. Growth-and-income funds seek long-term growth-and-income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who plan to attend college in, or close to, the year designated in the fund’s name.",Balanced Fund (Low Risk)
0000051931-18-000465,Managed Risk Asset Allocation Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 8","The fund’s investment in the Government Fund seeks to provide a level of diversification across multiple asset classes. Because different asset classes often react differently to changes in market conditions, such diversification seeks to manage the fund's risk to market changes, including stock market declines. Additionally, the fund employs a risk-management overlay referred to in this prospectus as the managed risk strategy. The managed risk strategy consists of using hedge instruments — primarily short positions in exchange-traded futures contracts — to attempt to stabilize the volatility of the fund around a target volatility level and reduce the downside exposure of the fund during periods of significant market declines. The fund employs a subadviser to select individual futures contracts on equity indexes of U.S. markets and markets outside the United States that the subadviser believes are correlated to the underlying fund’s equity exposure. These instruments are selected",Balanced Fund (Low Risk)
0000051931-18-000465,Managed Risk Blue Chip Income and Growth Fund,,Equity Long Only (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 8","Managed Risk Blue Chip Income and Growth Fund <head_breaker>

Managed Risk Blue Chip Income and Growth Fund

Investment objectives The fund’s investment objectives are to produce income exceeding the average yield on U.S. stocks generally and to provide an opportunity for growth of principal consistent with sound common stock investing, in each case while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,Managed Risk Growth Fund,,Equity Long Only (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 8","Managed Risk Growth Fund

<head_breaker>

Managed Risk Growth Fund

Investment objective The fund’s investment objective is to provide growth of capital while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,Managed Risk Growth-Income Fund,,Equity Long Only (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 8","Managed Risk Growth

Income Fund

<head_breaker>

Managed Risk Growth

Income Fund

Investment objectives The fund’s investment objectives are to achieve long-term growth of capital and income while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,Managed Risk International Fund,,Equity Long Only (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 7","Managed Risk International Fund

<head_breaker>

Managed Risk International Fund

Investment objective The fund’s investment objective is to provide long-term growth of capital while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,Mortgage Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 9","Principal investment strategies Normally, at least 80% of the fund’s assets is invested in mortgage-related securities, including securities collateralized by mortgage loans and contracts for future delivery of such securities (such as to-be-announced contracts and mortgage dollar rolls). The contracts for future delivery are normally of short duration and may be replaced by another contract prior to maturity. Each such transaction is reflected as turnover in the fund’s portfolio, resulting in a higher portfolio turnover rate than funds that do not employ this investment strategy. The fund invests primarily in mortgage-related securities that are sponsored or guaranteed by the U.S. government, such as securities issued by government-sponsored entities and federal agencies and instrumentalities that are not backed by the full faith and credit of the U.S. government, and non-government mortgage-related securities that are rated in the Aaa or AAA rating category (by Nationally Recognized",Fixed Income Long Only (Low Risk)
0000051931-18-000465,New World Fund,,Balanced Fund (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Equity Long Only  
Confidence: 10","Principal investment strategies The fund invests primarily in common stocks of companies around the world that the investment adviser believes have the potential for growth. As a fund that seeks to invest globally, the fund will allocate its assets among securities of companies domiciled in various countries, including the United States and countries with emerging markets (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net assets in issuers outside the United States).",Equity Long Only (Low Risk)
0000051931-18-000465,Portfolio Series - American Funds Global Growth Portfolio,,Equity Long Only (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Equity Long Only  
Confidence: 9","Portfolio Series - American Funds Global Growth Portfolio <head_breaker>

American Funds Global Growth Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1, Class 1A or Class 2 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Equity Long Only (Low Risk)
0000051931-18-000465,Portfolio Series - American Funds Growth and Income Portfolio,,Equity Long Only (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 9","Portfolio Series - American Funds Managed Risk Growth and Income Portfolio <head_breaker>

American Funds Managed Risk Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital and current income while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,Portfolio Series - American Funds Managed Risk Global Allocation Portfolio,,Balanced Fund (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 8","Portfolio Series - American Funds Managed Risk Global Allocation Portfolio <head_breaker>

American Funds Managed Risk Global Allocation Portfolio

Investment objective The fund’s investment objective is to provide high total return (including income and capital gains) consistent with preservation of capital over the long term while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,Portfolio Series - American Funds Managed Risk Growth Portfolio,,Equity Long Only (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 8","Portfolio Series - American Funds Managed Risk Growth Portfolio <head_breaker>

American Funds Managed Risk Growth Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,Portfolio Series - American Funds Managed Risk Growth and Income Portfolio,,Equity Long Only (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 9","Portfolio Series - American Funds Managed Risk Growth and Income Portfolio <head_breaker>

American Funds Managed Risk Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital and current income while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",Balanced Fund (Low Risk)
0000051931-18-000465,U.S. Government/AAA-Rated Securities Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Principal investment strategies Normally, the fund invests at least 80% of its assets in debt securities (which may be represented by other investment instruments, including derivatives) that are guaranteed or sponsored by the U.S. government or that are otherwise rated Aaa or AAA by Nationally Recognized Statistical Rating Organizations designated by the fund’s investment adviser or unrated but determined to be of equivalent quality by the fund’s investment adviser. The fund is designed for investors seeking income, long-term capital preservation and more price stability than investments in stocks and lower quality debt securities.",Fixed Income Long Only (Low Risk)
0000051931-18-000465,Ultra-Short Bond Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Principal investment strategies The fund will attempt to achieve its investment objective by investing in a mix of American Funds bond funds. The fund will principally invest in funds that seek current income through bond investments.

When determining in which bond funds to invest, the investment adviser will predominately seek exposure to higher quality bonds (rated A- or better or A3 or better by Nationally Recognized Statistical Rating Organizations designated by the fund’s investment adviser, or unrated but determined by the fund’s investment adviser to be of equivalent quality) with intermediate to short-term durations. The fund may, however, invest in underlying funds with exposure to lower quality, higher yielding securities rated BBB+ or below and Baa1 or below (including those rated BB+ or below and Ba1 or below) or unrated but determined by the fund’s investment adviser to be of equivalent quality, and to bonds with longer durations.",Fixed Income Long Only (Low Risk)
0000051931-18-000615,American Funds Conservative Growth and Income Portfolio,,Balanced Fund (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds Conservative Growth and Income Portfolio <head_breaker>

American Funds Conservative Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide current income and, secondarily, long-term growth of capital.",Balanced Fund (Low Risk)
0000051931-18-000615,American Funds Moderate Growth and Income Portfolio,,Balanced Fund (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds Moderate Growth and Income Portfolio <head_breaker>

American Funds Moderate Growth and Income Portfolio

Investment objectives The fund’s investment objectives are to provide current income and long-term growth of capital and income.",Balanced Fund (Low Risk)
0000051931-18-000615,American Funds Preservation Portfolio,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 9","American Funds Preservation Portfolio

<head_breaker>

American Funds Preservation Portfolio

Investment objective The fund’s investment objective is to provide current income, consistent with preservation of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. In addition to the fees and expenses described below, you may also be required to pay brokerage commissions on purchases and sales of Class F-2 or F-3 shares of the fund. You may qualify for a Class A sales charge discount if you and your family invest, or agree to invest in the future, at least $500,000 in American Funds. More information about these and other discounts is available from your financial professional, in the “Sales charge reductions and waivers” sections on page 76 of the prospectus and on page 96 of the fund’s statement of additional information, and in the sales charge waiver appendix to this prospectus.",Fixed Income Long Only (Low Risk)
0000051931-18-000615,American Funds Tax-Advantaged Growth and Income Portfolio,,Balanced Fund (Low Risk),No,Sub-investment grade securities or emerging markets,Diversified,"Category: Balanced Fund  
Confidence: 8","American Funds Tax-Advantaged Growth and Income Portfolio <head_breaker>

American Funds Tax-Advantaged Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide current income, a portion of which is exempt from regular federal income tax, while secondarily striving for long-term growth of capital.",Balanced Fund (Low Risk)
0000051931-18-000615,American Funds Tax-Exempt Preservation Portfolio,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 9","American Funds Tax

Exempt Preservation Portfolio

<head_breaker>

American Funds Tax

Exempt Preservation Portfolio

Investment objective The fund’s investment objective is to provide current income that is exempt from regular federal income tax, consistent with preservation of capital.",Fixed Income Long Only (Low Risk)
0000051931-18-001394,American Funds Retirement Income Portfolio - Conservative,,Balanced Fund (Low Risk),No,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 8","American Funds Retirement Income Portfolio - Conservative <head_breaker>

American Funds Retirement Income Portfolio – Conservative

Investment objectives The fund strives for the accomplishment of three investment objectives: current income, long-term growth of capital and conservation of capital, with an emphasis on income and conservation of capital.",Balanced Fund (Low Risk)
